Source,Target
Joe Gebbia,United States
Steven Udvar-Hazy,United States
Rakesh Gangwal,United States
Jeff Bezos,United States
MacKenzie Scott,United States
Steve Case,United States
Ralph Lauren,United States
Tim Cook,United States
Laurene Powell Jobs & family,United States
Norman Braman,United States
Hartley Rogers,United States
Donald Foss,United States
Don Hankey,United States
Shahid Khan,United States
Lloyd Blankfein,United States
Jamie Dimon,United States
Gerald Ford,United States
Norma Lerner,United States
Nancy Lerner,United States
Randolph Lerner,United States
T. Denny Sanford,United States
Bernard Saul II,United States
Andrew Beal,United States
Henry Davis,United States
Jim Koch,United States
Alejandro Santo Domingo,United States
Andres Santo Domingo,United States
Richard Yuengling Jr,United States
Duke Reyes,United States
Warren Buffett,United States
Stewart Horejsi & family,United States
Charles Munger,United States
Richard Schulze,United States
Nick Caporella,United States
Don Vultaggio & family,United States
Arturo Moreno,United States
Noubar Afeyan,United States
Osman Kibar,United States
Robert Langer,United States
John Oyler,United States
Alice Schwartz,United States
Timothy Springer,United States
Felix Baker,United States
Michael Bloomberg,United States
Duncan MacMillan,United States
Thomas Secunda,United States
Charles Zegar,United States
Martha Ingram & family,United States
Maggie Hardy Knox,United States
Marc Benioff,United States
Aneel Bhusri,United States
David Duffield,United States
Thomas Siebel,United States
Charles Dolan & family,United States
Alan Gerry,United States
Amos Hostetter Jr,United States
John Malone,United States
Ted Turner,United States
Gary Magness,United States
Bennett Dorrance,United States
Mary Alice Dorrance Malone,United States
Charlotte Colket Weber,United States
Jacqueline Mars,United States
Marijke Mars,United States
Pamela Mars,United States
Valerie Mars,United States
Victoria Mars,United States
John Mars,United States
Boris Jordan,United States
Herb Chambers,United States
Gail Miller,United States
James Cargill II,United States
Austen Cargill II,United States
Alexandra Daitch,United States
Pauline MacMillan Keinath,United States
Marianne Liebmann,United States
Sarah MacMillan,United States
Martha MacMillan,United States
William MacMillan,United States
John MacMillan,United States
Cargill MacMillan III,United States
Gwendolyn Sontheim Meyer,United States
Lucy Stitzer,United States
Micky Arison,United States
Roger Penske,United States
Miriam Adelson,United States
William Boyd,United States
Elaine Wynn,United States
Steve Wynn,United States
Lorenzo Fertitta,United States
Frank Fertitta III,United States
Phil Ruffin,United States
Michael Jordan,United States
James Leprino,United States
John Farber,United States
Liu Xiucai & family,United States
Anita Zucker,United States
William Wrigley Jr,United States
Bubba Cathy,United States
Dan Cathy,United States
Sandy Weill,United States
S. Curtis Johnson,United States
H. Fisk Johnson,United States
Helen Johnson-Leipold,United States
Winifred J. Marquart,United States
Alexis Lê-Quôc,United States
Ryan Smith,United States
Jared Smith,United States
Scott Smith,United States
Drew Houston,United States
Vlad Shmunis,United States
Jim Justice II,United States
Summerfield Johnston Jr,United States
Timothy Boyle,United States
Brian Roberts,United States
Tor Peterson,United States
David Sun,United States
John Tu,United States
Jayshree Ullal,United States
Margot Birmingham Perot,United States
Jorge Mas,United States
Dennis Washington,United States
Aerin Lauder,United States
Kim Kardashian West,United States
Brian Armstrong,United States
Michael Saylor,United States
Tyler Winklevoss,United States
Fred Ehrsam,United States
Matthew Prince,United States
Ken Xie,United States
Michael Xie,United States
Jerry Jones,United States
A. Jayson Adair,United States
Willis Johnson,United States
Whitney Wolfe Herd,United States
Neal Blue & family,United States
George Pedersen,United States
Michael Dell,United States
Edward Stack,United States
Stanley Hubbard,United States
Thomas Peterffy,United States
Rodger Riney & family,United States
Charles Schwab,United States
Wilma Tisch,United States
Dagmar Dolby & family,United States
David Murdock,United States
Stewart Rahr,United States
Jeff Skoll,United States
Meg Whitman,United States
Pierre Omidyar,United States
Peter Sperling,United States
Henrik Fisker,United States
Michael Polsky,United States
Trevor Milton,United States
RJ Scaringe,United States
Patrizio Vinciarelli,United States
Vincent Viola,United States
Feng Chenhui,United States
Tang Zhuang,United States
Ben Chestnut,United States
Dan Kurzius,United States
Carl DeSantis,United States
Rodney Sacks,United States
Russ Weiner,United States
Janice McNair,United States
Riley Bechtel & family,United States
Vincent McMahon,United States
Jane Lauder,United States
Gary Lauder,United States
Leonard Lauder,United States
Ronald Lauder,United States
William Lauder,United States
Dustin Moskovitz,United States
Jeff Rothschild,United States
Sheryl Sandberg,United States
Peter Thiel,United States
Mark Zuckerberg,United States
Chamath Palihapitiya,United States
Daniel Hirschfeld,United States
Fred Smith,United States
Thomas James,United States
Antony Ressler,United States
Mark Walter,United States
William Foley II,United States
David Zalik,United States
Chris Britt,United States
Max Levchin,United States
Chuck Bundrant,United States
Jeffrey Lorberbaum,United States
Andy Fang,United States
Stanley Tang,United States
Tony Xu,United States
Jude Reyes,United States
J. Christopher Reyes,United States
John Tyson,United States
Jeremy Jacobs Sr & family,United States
Robert Rich Jr,United States
Ronald Wanek,United States
Todd Wanek,United States
Gary Friedman,United States
Doris Fisher,United States
John Fisher,United States
William Fisher,United States
Robert Fisher,United States
Bill Haslam,United States
Jimmy Haslam,United States
Gordon Getty,United States
Joe Lacob,United States
Sergey Brin,United States
Larry Page,United States
Eric Schmidt,United States
Eric Lefkofsky,United States
Todd Christopher,United States
John Paul DeJoria,United States
Eric Smidt,United States
Forrest Preston,United States
Keith Dunleavy & family,United States
Judy Faulkner,United States
Phillip T. (Terry) Ragon,United States
Alan Miller & family,United States
Bill Austin,United States
Philippe Laffont,United States
Jeffrey Talpins,United States
William Ackman,United States
John Arnold,United States
Louis Bacon,United States
O. Francis Biondi,United States
Steve Cohen,United States
Leon G. Cooperman,United States
Ray Dalio,United States
James Dinan,United States
Stanley Druckenmiller,United States
Glenn Dubin,United States
Joseph Edelman,United States
Israel Englander,United States
Noam Gottesman,United States
Ken Griffin,United States
Brian Higgins,United States
Paul Tudor Jones II,United States
Bruce Kovner,United States
Marc Lasry,United States
Henry Laufer,United States
Daniel Loeb,United States
Stephen Mandel Jr,United States
Daniel Och,United States
John Overdeck,United States
John Paulson,United States
Larry Robbins,United States
Julian Robertson Jr,United States
David Shaw,United States
David Siegel,United States
Jim Simons,United States
Paul Singer,United States
George Soros,United States
Michael Steinhardt,United States
Thomas Steyer,United States
Daniel Sundheim,United States
Henry Swieca,United States
David Tepper,United States
Wilbur  'Ed' Bosarge Jr,United States
Robert Toll,United States
Arthur Blank,United States
Bernard Marcus,United States
John Menard Jr,United States
Donald Horton,United States
Patrick Zalupski,United States
Thomas Frist Jr & family,United States
Karen Pritzker,United States
Jean (Gigi) Pritzker,United States
Penny Pritzker,United States
Linda Pritzker,United States
Jennifer Pritzker,United States
Thomas Pritzker,United States
Anthony Pritzker,United States
J.B. Pritzker,United States
Daniel Pritzker,United States
John Pritzker,United States
Nicholas Pritzker,United States
Robert Rowling,United States
Tilman Fertitta,United States
James Irsay,United States
Mitchell Jacobson,United States
Lynsi Snyder,United States
Kevin Systrom,United States
William Berkley,United States
J. Hyatt Brown,United States
Henry Engelhardt,United States
Thomas Hagen,United States
Mark & Robyn Jones,United States
George Joseph,United States
Patrick Ryan,United States
Steven Tisch,United States
Laurie Tisch,United States
Jonathan Tisch,United States
Gordon Moore,United States
Julian Baker,United States
Herbert Allen Jr & family,United States
Warren Stephens,United States
Joe Mansueto,United States
Philip Anschutz,United States
Nicolas Berggruen,United States
Chase Coleman III,United States
Wesley Edens,United States
J. Christopher Flowers,United States
David Gottesman,United States
Jonathan Gray,United States
Sue Gross,United States
Bill Gross,United States
Jeffrey Gundlach,United States
J. Tomilson Hill,United States
Carl Icahn,United States
Hamilton James,United States
Richard Kayne,United States
Peter Kellogg,United States
Seth Klarman,United States
Steven Klinsky,United States
Ken Langone,United States
Pablo Legorreta,United States
C. Dean Metropoulos,United States
Michael Milken,United States
Nelson Peltz,United States
Michael Price,United States
Ira Rennert,United States
Stephen Schwarzman,United States
Carl Thoma,United States
Herbert Wertheim,United States
Robert Ziff,United States
Daniel Ziff,United States
Dirk Ziff,United States
Bharat Desai,United States
Jim Kavanaugh,United States
Leo Koguan,United States
Thai Lee,United States
David Steward,United States
Carolyn Rafaelian,United States
Charles Koch,United States
Julia Koch & family,United States
GT Dave,United States
Valentin Gapontsev & family,United States
Ronald Perelman,United States
Mimi Haas,United States
Reid Hoffman,United States
Michael S. Smith,United States
Robert Sands,United States
Richard Sands,United States
Marian Ilitch,United States
Kenneth Feld & family,United States
Brad Jacobs,United States
Jim Thompson,United States
Jim Crane,United States
Donald Friese,United States
Steven Rales,United States
Mitchell Rales,United States
Jack Dangermond,United States
Isaac Perlmutter,United States
Sheldon Lavin,United States
Donald Newhouse,United States
James Chambers,United States
Jim Kennedy,United States
Blair Parry-Okeden,United States
Katharine Rayner,United States
Margaretta Taylor,United States
Carl Cook,United States
David Paul,United States
Reinhold Schmieding,United States
John Brown,United States
Ronda Stryker,United States
Pat Stryker,United States
Jon Stryker,United States
Amy Wyss,United States
Gary Michelson,United States
James Leininger,United States
Steve Ballmer,United States
Melinda French Gates,United States
Bill Gates,United States
Charles Simonyi,United States
Robert Friedland,United States
Adam Foroughi,United States
Andrew Paradise,United States
Jim McKelvey,United States
Clifford Asness,United States
Thomas Bailey,United States
Ron Baron,United States
Larry Fink,United States
Ken Fisher,United States
Mario Gabelli,United States
Abigail Johnson,United States
Elizabeth Johnson,United States
Edward Johnson III,United States
Charles B. Johnson,United States
Edward Johnson IV,United States
Rupert Johnson Jr,United States
Fayez Sarofim,United States
Alfred West Jr,United States
Anthony Hsieh,United States
Mat Ishbia,United States
Steven Spielberg,United States
Thomas Tull,United States
David Geffen,United States
Tyler Perry,United States
Jay-Z,United States
Len Blavatnik,United States
Kanye West,United States
David Booth,United States
James France,United States
Terrence Pegula,United States
Farris Wilks,United States
Dan Wilks,United States
Min Kao & family,United States
Reed Hastings,United States
James Clark,United States
Jim Davis & family,United States
Robert Kraft,United States
Rupert Murdoch & family,United States
Phil Knight & family,United States
Anne Gittinger,United States
Bruce Nordstrom,United States
Frank VanderSloot,United States
Jeffery Hildebrand,United States
W. Herbert Hunt,United States
George Bishop,United States
Harold Hamm & family,United States
Trevor Rees-Jones,United States
George Kaiser,United States
Timothy Headington,United States
Lynn Schusterman,United States
Evgeny (Eugene) Shvidler,United States
Paul Foster,United States
Robert Bass,United States
Sid Bass,United States
Edward Bass,United States
Lee Bass,United States
William Koch,United States
John Catsimatidis,United States
Ray Lee Hunt,United States
Jeff Green,United States
Arash Ferdowsi,United States
David Baszucki,United States
Mark Pincus,United States
Barry Diller,United States
Todd Wagner,United States
Mark Cuban,United States
Steve Conine,United States
Michael Rubin,United States
Niraj Shah,United States
Bom Kim,United States
Kenneth Tuchman,United States
Paul Xiaoming Lee & family,United States
Yvon Chouinard,United States
Jared Isaacman,United States
Ronald Clarke,United States
Chad Richison,United States
Tom Golisano,United States
Steven Sarowitz,United States
John Foley,United States
Gary Rollins,United States
Clayton Mathile,United States
Li Ge,United States
August Troendle,United States
Robert Duggan,United States
Phillip Frost,United States
Hao Hong,United States
Randal J. Kirk,United States
Lou Boliang & family,United States
Leonard Schleifer,United States
Patrick Soon-Shiong,United States
George Yancopoulos,United States
Yu De-Chao,United States
Jeffrey Lurie,United States
Paul Sciarra,United States
Ben Silbermann,United States
Dannine Avara,United States
Ray Davis,United States
Scott Duncan,United States
Milane Frantz,United States
Richard Kinder,United States
Kelcy Warren,United States
Randa Duncan Williams,United States
William Young,United States
Herbert Kohler Jr & family,United States
Joseph Grendys,United States
Glen Taylor,United States
Leon Black,United States
David Bonderman,United States
Orlando Bravo,United States
William Conway Jr,United States
Jim Coulter,United States
Daniel D'Aniello,United States
Egon Durban,United States
Behdad Eghbali,United States
Stephen Feinberg,United States
Jose E. Feliciano,United States
Lawrence Golub,United States
David Golub,United States
Tom Gores,United States
Alec Gores,United States
Joshua Harris,United States
Justin Ishbia,United States
Scott Kapnick,United States
Bruce Karsh,United States
Henry Kravis,United States
Thomas Lee,United States
Howard Marks,United States
Sami Mnaymneh,United States
Jonathan Nelson,United States
George Roberts,United States
Marc Rowan,United States
David Rubenstein,United States
Robert F. Smith,United States
Barry Sternlicht,United States
Tony Tamer,United States
Kenneth Hao,United States
Michael Kim,United States
Greg Mondre,United States
Gayle Benson,United States
Carol Jenkins Barnett,United States
Daniel Gilbert,United States
John Arrillaga,United States
Ben Ashkenazy,United States
Neil Bluhm,United States
Donald Bren,United States
Rick Caruso,United States
Charles Cohen,United States
John Goff,United States
Jane Goldman,United States
Allan Goldman,United States
Amy Goldman Fowler,United States
Diane Kemper,United States
Richard LeFrak & family,United States
Ted Lerner & family,United States
David Lichtenstein,United States
George Marcus,United States
Igor Olenicoff,United States
Jay Paul,United States
Richard Peery,United States
Jorge Perez,United States
H. Ross Perot Jr,United States
Edward Roski Jr,United States
Stephen Ross,United States
Martin Selig,United States
Herb Simon,United States
John A. Sobrato & family,United States
Jerry Speyer,United States
Axel Stawski,United States
Donald Sterling,United States
Leonard Stern,United States
Sun Hongbin,United States
Jeff Sutton,United States
Donald Trump,United States
David Walentas,United States
Penny Sanford,United States
Glenn Sanford,United States
Stephen Winn,United States
George Argyros & family,United States
Jeff Greene,United States
Mortimer Zuckerman,United States
Billy Joe (Red) McCombs,United States
Ty Warner,United States
Sam Zell,United States
Paul Fireman,United States
Andrew & Peggy Cherng,United States
David Green & family,United States
Sidney Kimmel,United States
Michael Krasny,United States
Wang Roger,United States
Les Wexner & family,United States
Tom & Judy Love,United States
Anthony Wood,United States
Diane Hendricks,United States
Christopher Goldsbury,United States
Denise York & family,United States
Jimmy John Liautaud,United States
Charles Ergen,United States
Frank Laukien,United States
Edward Lampert,United States
Jay Chaudhry,United States
George Kurtz,United States
Tamara Gustavson,United States
B. Wayne Hughes,United States
Zhong Peifeng,United States
Weili Dai,United States
Jensen Huang,United States
Henry Nicholas III,United States
John Ocampo,United States
Henry Samueli,United States
Shen Hua & family,United States
Sehat Sutardja,United States
John Bicket,United States
Sanjit Biswas,United States
Austin Russell,United States
Susan Alfond,United States
Ted Alfond,United States
Bill Alfond,United States
J. Wayne Weaver,United States
Edward DeBartolo Jr,United States
S. Daniel Abraham,United States
Lin Bin,United States
Daniel Lubetzky,United States
Bobby Murphy,United States
Evan Spiegel,United States
Robert Brockman,United States
Matthew Calkins,United States
Safra Catz,United States
Scott Cook,United States
Thierry Cruanes,United States
Benoit Dageville,United States
Darwin Deason,United States
Larry Ellison,United States
Peter Gassner,United States
James Goodnight,United States
Patrick Hanrahan,United States
Orion Hindawi,United States
David Hindawi,United States
Jeff Lawson,United States
Joseph Liemandt,United States
Frederic Luddy,United States
Todd McKinnon,United States
Bob Muglia,United States
John Sall,United States
James Scapa,United States
Frank Slootman,United States
Mike Speiser,United States
Alan Trefler,United States
Romesh T. Wadhwani,United States
William Stone,United States
Alexander Karp,United States
Dean Solon,United States
John Morris,United States
John Henry,United States
Leslie Alexander,United States
Theodore Leonsis,United States
Jerry Reinsdorf,United States
Stanley Kroenke,United States
Jim Davis,United States
Stephen Bisciotti,United States
George Lucas,United States
Howard Schultz,United States
John McConnell & family,United States
Jonathan Oringer,United States
Vlad Tenev,United States
Baiju Bhatt,United States
B. Wayne Hughes Jr,United States
Peter Buck,United States
James Jannard,United States
Hank & Doug Meijer,United States
Ron Burkle,United States
J. Joe Ricketts & family,United States
Chetan Dube,United States
Rocco Commisso,United States
Craig McCaw,United States
Kenny Troutt,United States
Elon Musk,United States
Archie Aldis Emmerson & family,United States
James Duff,United States
Thomas Duff,United States
Brad Kelley,United States
John Middleton,United States
Dan Friedkin,United States
Jeff Yass,United States
Jerry Moyes,United States
Johnelle Hunt,United States
Haim Saban,United States
Oprah Winfrey,United States
Evan Williams,United States
Jack Dorsey,United States
Ryan Graves,United States
Travis Kalanick,United States
Mark Shoen,United States
E. Joe Shoen,United States
Kevin Plank,United States
Richard Hayne,United States
Ernest Garcia II,United States
Ernest Garcia III,United States
Walter Scott Jr & family,United States
Catherine Lozick,United States
Jim Breyer,United States
John Doerr,United States
Vinod Khosla,United States
Douglas Leone,United States
Michael Moritz,United States
Mark Stevens,United States
Marc Andreessen,United States
Chris Sacca,United States
Kavitark Ram Shriram,United States
Eric Yuan & family,United States
Tim Sweeney,United States
Jon Yarbrough,United States
Gabe Newell,United States
Bert Beveridge,United States
Joe Rogers Jr,United States
Ann Walton Kroenke,United States
Nancy Walton Laurie,United States
Alice Walton,United States
Christy Walton,United States
Jim Walton,United States
Rob Walton,United States
Lukas Walton,United States
Drayton McLane Jr,United States
Dan Snyder,United States
Bob Parsons,United States
Miguel McKelvey,United States
Brian Acton,United States
Jan Koum,United States
Robert Pera,United States
David Filo,United States
Jerry Yang,United States
Richard Barton,United States
Lloyd Frink,United States
Juan Carlos Escotet,Venezuela
Nguyen Thi Phuong Thao,Vietnam
Tran Ba Duong & family,Vietnam
Ho Hung Anh,Vietnam
Nguyen Dang Quang,Vietnam
Pham Nhat Vuong,Vietnam
Tran Dinh Long,Vietnam
Strive Masiyiwa,Zimbabwe
Issad Rebrab & family,food
Eduardo Eurnekian,"airports, investments"
Marcos Galperin,e-commerce
Alejandro Bulgheroni,oil & gas
Gregorio Perez Companc & family,oil & gas
Alberto Roemmers,pharmaceuticals
Terry Snow,"airports, real estate"
Vivek Chaand Sehgal,auto parts
Len Ainsworth,betting machines 
Gretel Packer,casinos
James Packer,casinos 
Kerry Stokes,"construction equipment, media"
Alan Rydge,entertainment
Jack Cowin,fast food 
Michael Heine,financial services
Anthony Eisen,fintech
Nick Molnar,fintech
Bruce Mathieson,hotels
Michael Hintze,investment
David Hains,Investments
Judith Neilson,investments
Kerr Neilson,Investments
Lindsay Fox,"logistics, real estate"
Anthony Pratt,manufacturing
Fiona Geminder,manufacturing 
Heloise Pratt,"manufacturing, investment "
Angela Bennett,mining
Andrew Forrest,mining
John Hancock,mining
Clive Palmer,mining
Gina Rinehart,mining
Ginia Rinehart,mining
Bianca Rinehart,mining
Hope Welker,mining
Bob Ell,real estate
Sam Tarascio,real estate
Harry Triguboff,real estate
John Van Lieshout,real estate
Lang Walker,real estate
Nigel Austin,retail
Gerry Harvey,retail
Solomon Lew,retail
Brett Blundy,"retail, agribusiness"
"John, Alan & Bruce Wilson",retailing
John Gandel,shopping malls
Frank Lowy,shopping malls
Mike Cannon-Brookes,software
Scott Farquhar,software
Richard White,software
David Teoh & family,telecom
Manny Stul,toys
Stefan Pierer,automotive
Michael Tojner,"batteries, investments"
Reinold Geiger,beauty products
Wolfgang Leitner,engineering
Johann Graf,gambling 
Gaston Glock & family,guns
Hubert Palfinger & family,hydraulic lift machinery
Ulrich Mommert & family,lighting
Georg Stumpf,"real estate, construction"
Rene Benko,"real estate, retail"
Dietrich Mateschitz,Red Bull
Heidi Horten,retail
Helmut Sohmen,shipping
Eric Wittouck,investments
Jan Van Geet,real estate developer
Luc Tack,"textile, chemicals"
Lia Maria Aguiar,banking
Julio Bozano,banking
Ana Lucia de Mattos Barretto Villela,banking
Alfredo Egydio Arruda Villela Filho,banking
Andre Esteves,banking
Safra siblings,banking
Pedro Moreira Salles,"banking, minerals"
Joao Moreira Salles,"banking, minerals"
Fernando Roberto Moreira Salles,"banking, minerals"
Walther Moreira Salles Junior,"banking, minerals"
Wesley Batista,beef packing
Joesley Batista,beef processing
Walter Faria,beer
Jorge Paulo Lemann & family,beer
Vera Rechulski Santo Domingo,beer
Carlos Alberto Sicupira & family,beer
Marcel Herrmann Telles,beer
Miguel Krigsner,cosmetics
Guilherme Peirao Leal,cosmetics
Antonio Luiz Seabra,cosmetics
Luciano Hang,department stores
Ermirio Pereira de Moraes,diversified
Maria Helena Moraes Scripilliti,diversified
Samuel Barata,drugstores
Eduardo Saverin,Facebook
Alceu Elias Feldmann,fertilizer
Guilherme Benchimol,financial services
André Street,fintech
Maurizio Billi,generic drugs
Carlos Sanchez,generic drugs
Pedro de Godoy Bueno,health insurance
Rubens Menin Teixeira de Souza,"home building, banking"
Jorge Moll Filho & family,hospitals
Dulce Pugliese de Godoy Bueno,"hospitals, health care"
Candido Pinheiro Koren de Lima,"hospitals, health insurance"
Jorge Pinheiro Koren de Lima,"hospitals, health insurance"
Candido Pinheiro Koren de Lima Junior,"hospitals, health insurance"
Anne Werninghaus,industrial machinery
Jayme Garfinkel,insurance
Jose Joao Abdalla Filho,investments
Alexandre Behring,investments
Lirio Parisotto,investments
Jose Roberto Marinho,media
Joao Roberto Marinho,media
Roberto Irineu Marinho,media
Camilla de Godoy Bueno Grossi,medical labs
Luis Frias,mobile payments
Jose Luis Cutrale,orange juice
Liu Ming Chung,paper
Eduardo de Pontes,payments processing
Joao Alves de Queiroz Filho,pharmaceuticals
David Feffer,pulp and paper
Daniel Feffer,pulp and paper
Jorge Feffer,pulp and paper
Ruben Feffer,pulp and paper
Abilio dos Santos Diniz,retail
Flavia Bittar Garcia Faleiros,retail
Gisele Trajano,retail
Fernando Trajano,retail
Fabricio Garcia,retail 
Luiza Helena Trajano,retail chain
Franco Bittar Garcia,retailing
Alexandre Grendene Bartelle,shoes
Jose Isaac Peres & family,shopping malls
Rubens Ometto Silveira Mello,"sugar, ethanol"
Ilson Mateus,supermarkets
Maria Pinheiro,supermarkets
Anthony von Mandl,alcoholic beverages
Carl Hansen,biotech
Emanuele (Lino) Saputo & family,cheese
Zhang Ning & family,chemicals
Guy Laliberté,Cirque du Soleil
Pan Dong,consumer goods
Richard Fortin,convinience stores
James Irving,diversified
Jim Pattison,diversified
Dani Reiss,down jackets
Jean Coutu & family,drugstores
Brandt Louie,drugstores
Tobi Lutke,e-commerce
Joseph Tsai,e-commerce
Robert Miller,electronics components
Lawrence Stroll,fashion investments
Gerald Schwartz,finance
Stephen Smith,finance and investments
David Cheriton,Google
Apoorva Mehta,grocery delivery service
Peter Gilgan,homebuilding
Bob Gaglardi,hotels
Zhao Tongtong,Hotels
Serge Godin,information technology
Hal Jackman,"insurance, investments"
Ryan Cohen,investments
Catherine Phillips,investments
John Phillips,investments
Charles Bronfman,liquor
Chip Wilson,Lululemon
Pierre Karl Péladeau,media
David Thomson & family,media
Stewart Butterfield,messaging software
Bruce Flatt,money management
Stephen Jarislowsky,money management
Michael Lee-Chin,mutual funds
Arthur Irving,oil
N. Murray Edwards,oil & gas
Mark Scheinberg,online gambling 
Philip Fayer,online payments
Michael McCain,packaged meats
Qiu Dongxu,pharmaceutical
Mao Huihua,pharmaceuticals
Yu Xuefeng,pharmaceuticals
Yuan Liping,pharmaceuticals
Daryl Katz,pharmacies
Naomi Azrieli,Real estate
Sharon Azrieli,Real estate
Carlo Fidani,real estate
Mitchell Goldhar,real estate
Huang Chulong,real estate
Bill Malhotra,real estate
K. Rai Sahi,real estate
Jack Cockwell,"real estate, private equity"
Alain Bouchard,retail
Jacques D'Amours,retail
Mark Leonard & family,software
Barry Zekelman,steel
Clayton Zekelman,steel
Alan Zekelman,steel
Terence (Terry) Matthews,telecom
Ronnen Harary,toys
Anton Rabie,toys
Garrett Camp,Uber
Alvaro Saieh Bendeck,banking
Luis Enrique Yarur Rey,banking
Julio Ponce Lerou,fertilizer
Jean Salata,finance 
Patricia Angelini Rossi,"forestry, mining"
Roberto Angelini Rossi,"forestry, mining"
Sebastian Piñera & family,investments
Iris Fontbona & family,mining
Horst Paulmann & family,retail
Wu Zhongyi, electronics
Jiang Bin,acoustic components
Jason Jiang,advertising
Lin Yinsun,agribusiness
Liu Hanyuan,agribusiness
Liu Yonghao & family,agribusiness
Shao Genhuo,agribusiness
Xu Yingzhuo,agribusiness
Xue Hua,agribusiness
Cao Kejian,air compressors
Hu Xiaojun & family,Airline
Wang Junjin,airline
Wang Han,airline
Zeng Chaolin,Aluminium
Zhang Xuexin & family,aluminum
Liu Zhongtian & family,aluminum products
Zeng Chaoyi,aluminum products
Zheng Shuliang & family,aluminum products
Song Zuowen,"aluminum, diversified"
Huang Qiaoling,amusement parks
Gao Dekang & family,apparel
Li Rucheng,apparel
Wu Yonghua,apparel
Zhang Yuxiang & family,apparel
Zhang Jindong,appliance retailer
Liang Zhaoxian,appliances
Ni Zugen,appliances
Wang Qiangxiang,artificial turf
Li Guoqiang,auto dealerships
Ye Fan & family,auto dealerships
Jiang Yintai & family,auto parts
Ke Guihua,auto parts
Li Hongjing,auto parts
Wang Jianfeng & family,auto parts
Xu Xudong & family,auto parts
Zhou Bajin,auto parts
Li Shufu,automobiles
Wei Jianjun & family,automobiles
Lu Xiangyang,"automobiles, batteries"
Xia Zuoquan,"automobiles, batteries"
Wu Zhigang & family,bakery chain
Chen Qiongxiang,batteries
Chen Yuantai,batteries
Huang Shilin,batteries
Pei Zhenhua,batteries
Wu Kai,batteries
Wu Yingming,batteries
Zhao Fenggang,batteries
Wang Chuanfu,"batteries, automobiles"
Yao Kuizhang,beverages
Zong Qinghou,beverages
Zhong Shanshan,"beverages, pharmaceuticals"
Jian Jun,biomedical products
Hu Gengxi & family,Bio-Pharma
Zhao Yan,biotech
Xie Liangzhi & family,biotech 
Yang Tingdong,brewery
Wang Zhenghua,budget airline
Wong Luen Hei,building materials
Wang Wenjing,business software
Wang Yanqing & family,carbon fiber products
He Xinming family,ceramic
Shen Xiqiang & family,chemical
Chen Jianhua,chemicals
Du Jiangtao & family,chemicals
Hu Rongda & family,chemicals
Jiang Weiping & family,chemicals
Li Jiaquan,chemicals
Luo Liguo & family,chemicals
Mou Jinxiang,chemicals
Ruan Shuilong & family,chemicals
Tan Ruiqing,chemicals
Wang Zelong,chemicals
Wu Chaoqun,chemicals
Xu Jinfu,chemicals
Xu Gang,Chemicals
Yang Weidong & family,chemicals
Zhang Xi,chemicals
Zhou Wen & family,chemicals 
Xu Chuanhua & family,"chemicals, logistics"
You Xiaoping,"chemicals, spandex"
Miao Yongjun,clinical diagnostics
Dang Yanbao,coal
Qin Qingping & family,coal & coke
Liang Jiankun & family,cobalt mining
Yang Xuegang,coking
Zhang Jin,commodities
Chen Zhisong,communication equipment
Guo Guangchang,conglomerate
Liang Xinjun,conglomerate
Liang Guangwei,conglomerate
Wang Qunbin,conglomerate
Wong Hei & family,conglomerate
Yao Zhenhua & family,conglomerate
Ye Cheng,conglomerate
Yi Dasheng,conglomerate
Huang Zhenda & family,construction
Zhu Xingliang,construction
Liang Wengen,construction equipment
Li Weiguo,construction materials
Xu Shugen,"construction, mining machinery"
Gu Wei,consumer electronics
Tao Yuequn,Contact Lens
Mao Lixiang & family,cooking appliances
Feng Hailiang,"copper, education"
Liu Xuejing & family,"copper, poultry"
Hou Juncheng,cosmetics
Sun Huaiqing & family,cosmetics
Pan Gang,dairy
Liang Yaoming,diagnostics
Liu Yongxing,diversified
Lu Weiding,diversified
Shao Qinxiang,diversified
Sun Guangxin,diversified
Zan Shengda,diversified
Lu Di,drones
Frank Wang,drones
Swift Xie,drones
Chen Zhiping,e-cigarettes
David Jiang,e-cigarettes
Kate Wang,e-cigarettes
Xiong Shaoming,e-cigarettes
Trudy Shan Dai,e-commerce
Arthur Xiaobo Hong,e-commerce
Colin Zheng Huang,e-commerce
Huang Jinfeng,e-commerce
Eric Jing,e-commerce
Richard Qiangdong Liu,e-commerce
Zhaoxi Lu,e-commerce
Jack Ma,e-commerce
Mu Rongjun,e-commerce
Lucy Peng,e-commerce
Shao Xiaofeng,e-commerce
Tong Judy Wenhong,e-commerce
Wang Xing,e-commerce
Wang Huiwen,e-commerce
Wu Eddie Yongming,e-commerce
Mark Haoyong Yang,e-commerce
Zhang Tao,e-commerce
Daniel Yong Zhang,e-commerce
Sun Mengquan & family,edible oil
Larry Xiangdong Chen,education
Hou Jianbin,education
Li Yongxin & family,education
Li Guangyu,education
Li Yong,education
Lu Zhongfang,education
Wang Zhendong,education
Wu Junbao,education
Wu Wei,education
Xiao Guoqing,education
Xie Ketao,education
Xu Wanmao,education
Michael Minhong Yu,education
Yu Guo,education
Zhang Bangxin,education
Zhou Xiayun & family,Education
Wang Qinghua,electric equipment
Dong Jinggui,electric scooters
Qian Jinghong,electric scooters
