Source,Target
Julia Oetker,Germany
Richard Oetker,Germany
Carl Ferdinand Oetker,Germany
August Oetker,Germany
Christian Oetker,Germany
Alfred Oetker,Germany
Wolfgang Reimann,Germany
Matthias Reimann-Andersen,Germany
Stefan Reimann-Andersen,Germany
Renate Reimann-Haas,Germany
Rosely Schweizer,Germany
Sylvia Stroeher,Germany
Theo Mueller,Germany
Kevin David Lehmann,Germany
Erwin Franz Mueller,Germany
Dirk Rossmann & family,Germany
Otto Happel,Germany
Bernd Freier,Germany
Friedrich Knapp,Germany
Reinhold Wuerth & family,Germany
Carsten Maschmeyer,Germany
Ronald Slabke,Germany
Horst-Otto Gerberding,Germany
Horst Wortmann,Germany
Josef Boquoi & family,Germany
Kurt Krieger,Germany
Paul Gauselmann & family,Germany
Joachim Ante,Germany
Andreas von Bechtolsheim & family,Germany
Anna Katharina Viessmann,Germany
Maximilian Viessmann,Germany
Martin Viessmann,Germany
Bernard Broermann,Germany
Lutz Mario Helmig,Germany
Karin Schick,Germany
Rolf Gerling,Germany
Ralph Dommermuth,Germany
Walter P.J. Droege,Germany
Hedda im Brahm-Droege,Germany
August von Finck,Germany
Regine Leibinger,Germany
Peter Leibinger,Germany
Nicola Leibinger-Kammueller,Germany
Friedhelm Loh,Germany
Horst Julius Pudwill,Germany
Robert Toennies,Germany
Clemens Toennies,Germany
Yvonne Bauer,Germany
Mathias Doepfner,Germany
Gudrun Heine,Germany
Sybill Storz,Germany
Anna Maria Braun,Germany
Johanna Braun,Germany
Otto Philipp Braun,Germany
Karl Friedrich Braun,Germany
Ludwig Theodor Braun,Germany
Eva Maria Braun-Luedicke,Germany
Friederike Braun-Luedicke,Germany
Bernhard Braun-Luedicke,Germany
Reinfried Pohl Jr,Germany
Andreas Pohl,Germany
Hakan Koc,Germany
Guenther Fielmann & family,Germany
Torsten Toeller,Germany
Wilhelm Beier & family,Germany
Wolfgang Marguerre & family,Germany
Ludwig Merckle,Germany
Andreas Struengmann & family,Germany
Thomas Struengmann & family,Germany
Traudl Engelhorn & family,Germany
Erich Wesjohann & family,Germany
Hans Georg Naeder,Germany
Hubert Burda,Germany
Christiane Schoeller,Germany
Friede Springer,Germany
Stefan von Holtzbrinck,Germany
Wolfgang Egger,Germany
Alexander Otto,Germany
Katharina Otto-Bernstein,Germany
Alexandra Schoerghuber,Germany
Thomas Bruch,Germany
Christian Haub,Germany
Georg Haub,Germany
Benjamin Otto,Germany
Dieter Schwarz,Germany
Maren Otto,Germany
Michael Otto,Germany
Hans-Werner Hector,Germany
Sebastian Glaser,Germany
Renate Sick-Glaser,Germany
Klaus-Michael Kuehne,Germany
Christian Birkenstock,Germany
Alex Birkenstock,Germany
Dietmar Hopp & family,Germany
Georg Nemetschek & family,Germany
Hasso Plattner & family,Germany
Udo & Harald Tschira,Germany
